popularity,director,runtime,genres,release_date,release_year,budget_adj,revenue_adj
32.985763,Colin Trevorrow,124.0,Action,2015-06-09,2015,137999939.280026,1392445892.5238
28.419936,George Miller,120.0,Action,2015-05-13,2015,137999939.280026,348161292.489031
13.112507,Robert Schwentke,119.0,Adventure,2015-03-18,2015,101199955.472019,271619025.407628
11.173104,J.J. Abrams,136.0,Action,2015-12-15,2015,183999919.040035,1902723129.80182
9.335014,James Wan,137.0,Action,2015-04-01,2015,174799923.088033,1385748801.47052
9.1107,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156.0,Western,2015-12-25,2015,124199945.352024,490314247.021731
8.654359,Alan Taylor,125.0,Science Fiction,2015-06-23,2015,142599937.256027,405355075.683766
7.6674,Ridley Scott,141.0,Drama,2015-09-30,2015,99359956.2816192,547749654.310152
7.40416499999999,Kyle Balda|Pierre Coffin,91.0,Family,2015-06-17,2015,68079970.0448131,1064192016.79551
6.326804,Pete Docter,94.0,Comedy,2015-06-09,2015,160999929.160031,785411574.698907
6.200282,Sam Mendes,148.0,Action,2015-10-26,2015,225399900.824043,810220283.783075
6.189369,Lana Wachowski|Lilly Wachowski,124.0,Science Fiction,2015-02-04,2015,161919931.51523,169268630.681802
6.118847,Alex Garland,108.0,Drama,2015-01-21,2015,13799993.9280026,33919845.9552677
5.984995,Chris Columbus,105.0,Action,2015-07-16,2015,80959964.3776156,224146025.095748
5.944927,Joss Whedon,141.0,Action,2015-04-22,2015,257599886.656049,1292632336.88177
5.8984,Quentin Tarantino,167.0,Crime,2015-12-25,2015,40479982.1888078,143299244.588332
5.749758,Olivier Megaton,109.0,Crime,2015-01-01,2015,44159980.5696085,299709578.207785
5.573184,Peyton Reed,115.0,Science Fiction,2015-07-14,2015,119599947.376023,477113780.029936
5.556818,Kenneth Branagh,112.0,Romance,2015-03-12,2015,87399961.5440169,498963025.216268
5.476958,Francis Lawrence,136.0,War,2015-11-18,2015,147199935.232028,598481289.508232
5.462138,Brad Bird,130.0,Action,2015-05-19,2015,174799923.088033,192312729.942398
5.337064,Antoine Fuqua,123.0,Action,2015-06-15,2015,27599987.8560053,84373003.7158783
4.907832,Brad Peyton,114.0,Action,2015-05-27,2015,101199955.472019,432851374.985395
4.71040199999999,Sam Taylor-Johnson,125.0,Drama,2015-02-11,2015,36799983.8080071,524079119.045187
4.648046,Adam McKay,130.0,Comedy,2015-12-11,2015,25759988.6656049,122678731.541358
4.566713,Christopher McQuarrie,131.0,Action,2015-07-23,2015,137999939.280026,627743451.672881
4.564549,Seth MacFarlane,115.0,Comedy,2015-06-25,2015,62559972.4736121,198594430.13845
4.503789,Matthew Vaughn,130.0,Crime,2015-01-24,2015,74519967.2112144,371497801.660967
4.062293,Tom McCarthy,128.0,Drama,2015-11-06,2015,18399991.9040035,81278719.3973634
3.968891,Wes Ball,132.0,Action,2015-09-09,2015,56119975.3072108,286356245.923251
3.899557,Neill Blomkamp,120.0,Crime,2015-03-04,2015,45079980.1648087,93903685.2423785
3.877764,Elizabeth Banks,115.0,Comedy,2015-05-07,2015,26679988.2608051,264505582.097543
3.64821,Steven Spielberg,141.0,Thriller,2015-10-15,2015,36799983.8080071,149601569.335309
3.644541,Rob Letterman,103.0,Adventure,2015-08-05,2015,53359976.5216103,138157089.01088
3.557846,Lenny Abrahamson,117.0,Drama,2015-10-16,2015,5519997.57120106,32569603.0293746
3.339135,Peter Sohn,93.0,Adventure,2015-11-14,2015,160999929.160031,305371920.876354
3.23737,Jaume Collet-Serra,114.0,Action,2015-03-11,2015,45999979.7600089,65836683.5118592
3.227329,John Crowley,111.0,Drama,2015-11-04,2015,10119995.5472019,57110024.5915891
3.202719,F. Gary Gray,147.0,Drama,2015-08-13,2015,25759988.6656049,185504110.098191
3.080505,Breck Eisner,106.0,Fantasy,2015-10-21,2015,82799963.568016,129164861.167461
3.079522,Danny Boyle,122.0,History,2015-10-09,2015,27599987.8560053,31686509.2179359
3.053421,Guy Ritchie,116.0,Comedy,2015-08-13,2015,68999969.6400133,99493456.5028791
3.025852,Lee Toland Krieger,112.0,Fantasy,2015-04-16,2015,22999989.8800044,39219376.6634742
3.023253,Ilya Naishuller,97.0,Action,2015-09-12,2015,9199995.95200178,13187080.9976843
2.976436,Tim Johnson,94.0,Fantasy,2015-03-18,2015,124199945.352024,339361177.121082
2.968254,Jake Schreier,109.0,Drama,2015-07-09,2015,11039995.1424021,78671281.3846362
2.885126,Yorgos Lanthimos,118.0,Thriller,2015-10-08,2015,3679998.38080071,8339346.45068756
2.883233,Todd Haynes,118.0,Romance,2015-11-20,2015,10855995.2233621,37050347.8978469
2.814802,Nancy Meyers,121.0,Comedy,2015-09-24,2015,32199985.8320062,178999419.480255
2.798017,Baltasar KormÃ¡kur,121.0,Adventure,2015-09-10,2015,50599977.7360098,187153294.93255
2.793297,David O. Russell,124.0,Comedy,2015-12-24,2015,55199975.7120106,93043293.3409509
2.614499,Ericson Core,114.0,Action,2015-12-03,2015,96599957.4960187,123021159.990689
2.584264,John Wells,100.0,Drama,2015-10-02,2015,18399991.9040035,33678188.7415969
2.578919,Tarsem Singh,116.0,Science Fiction,2015-07-10,2015,23919989.4752046,28081355.5642035
2.575711,David Koepp,106.0,Comedy,2015-01-21,2015,55199975.7120106,27985062.8865723
2.557859,Tom Hooper,120.0,Drama,2015-11-27,2015,13799993.9280026,59056175.1752829
2.550747,Michael Mann,133.0,Mystery,2015-01-13,2015,64399971.6640124,16332697.613613
2.487849,Denis Villeneuve,121.0,Action,2015-09-17,2015,27599987.8560053,77303716.7063646
2.487042,Josh Trank,100.0,Action,2015-08-05,2015,110399952.34402,154539320.322699
2.46449,Robert Eggers,92.0,Mystery,2015-03-24,2015,3219998.58320062,37190013.0363942
2.404473,Paul Feig,120.0,Action,2015-05-06,2015,59799973.6880115,216812826.082356
2.395366,Glenn Ficarra|John Requa,105.0,Romance,2015-02-25,2015,46091979.7195289,141645863.63582
2.354654,Aleksander Bach,96.0,Action,2015-08-20,2015,32199985.8320062,75759810.1856835
2.345821,Ron Howard,122.0,Thriller,2015-11-20,2015,91999959.5200178,86315059.3813738
2.331567,Ryan Coogler,133.0,Drama,2015-11-25,2015,32199985.8320062,126900665.803707
2.31767,Judd Apatow,125.0,Comedy,2015-07-17,2015,32199985.8320062,129532072.565888
2.29573,Gavin Hood,102.0,Drama,2015-09-11,2015,11959994.7376023,30220316.9030605
2.28135,Brian Helgeland,131.0,Crime,2015-09-09,2015,22999989.8800044,39535137.0845396
2.234573,Joe Wright,111.0,Adventure,2015-09-24,2015,137999939.280026,118117202.42843
2.140199,Steve Martino,88.0,Adventure,2015-11-05,2015,91079959.9248176,226534364.284879
2.121884,Peter Landesman,123.0,Drama,2015-11-12,2015,32199985.8320062,44733666.5571867
2.096273,Jonathan Levine,100.0,Comedy,2015-11-20,2015,22999989.8800044,48204295.1101101
2.080935,Eli Roth,99.0,Drama,2015-06-26,2015,2299998.98800044,4796917.44935632
2.070708,"George Tillman, Jr.",128.0,Romance,2015-04-09,2015,31279986.236806,57972193.012235
2.060162,Genndy Tartakovsky,89.0,Animation,2015-09-21,2015,73599967.6160142,428888671.768984
2.055572,Jessie Nelson,107.0,Family,2015-11-12,2015,15639993.118403,22079990.2848042
2.049886,Robert Zemeckis,123.0,Adventure,2015-09-30,2015,32199985.8320062,56287361.8735607
2.026651,Daniel Benmayor,94.0,Action,2015-01-15,2015,10119995.5472019,1714249.04573042
2.000338,John Francis Daley|Jonathan M. Goldstein,99.0,Adventure,2015-07-28,2015,28519987.4512055,96033410.7052992
1.984529,Gil Kenan,93.0,Horror,2015-05-20,2015,32199985.8320062,87802915.846717
1.980039,Henry Hobson,95.0,Horror,2015-05-08,2015,3679998.38080071,172142.964257095
1.95632,Daniel Espinosa,137.0,Crime,2015-03-15,2015,45999979.7600089,3058382.2543118
1.926739,Joel Edgerton,108.0,Thriller,2015-07-30,2015,4599997.97600089,54260336.8854517
1.904898,Sean Anders,96.0,Comedy,2015-12-25,2015,45999979.7600089,221131463.342156
1.865007,Mark Osborne,92.0,Adventure,2015-07-29,2015,58879974.0928114,89765510.5031753
1.82313,Jocelyn Moorhouse,118.0,Drama,2015-10-01,2015,10975595.1707381,16872792.5759712
1.758618,Ari Sandel,100.0,Romance,2015-02-20,2015,7819996.55920151,40046325.6596167
1.742286,Ciaran Foy,97.0,Horror,2015-08-19,2015,9199995.95200178,48651435.1533685
1.73518,Andy Fickman,94.0,Action,2015-04-16,2015,27599987.8560053,98989419.0846556
1.65107799999999,Rob Cohen,91.0,Thriller,2015-01-23,2015,3679998.38080071,46150034.4539848
1.532997,Doug Ellin,104.0,Comedy,2015-06-03,2015,27599987.8560053,45322311.7381828
1.510096,Jeremy Garelick,101.0,Comedy,2015-01-16,2015,21159990.689604,73415857.2970227
1.499614,Christopher B. Landon,93.0,Comedy,2015-10-23,2015,13799993.9280026,13671898.7043645
1.495112,M. Night Shyamalan,94.0,Horror,2015-09-10,2015,4599997.97600089,90574017.1874324
1.48324599999999,Scott Cooper,122.0,Crime,2015-09-04,2015,48759978.5456094,91793583.3708233
1.449072,Scott Mann,93.0,Crime,2015-11-13,2015,8187996.39728158,46125.0997049561
1.448002,Michael Dougherty,98.0,Horror,2015-11-26,2015,13799993.9280026,56624785.5250943
1.443406,Gilles Paquet-Brenner,113.0,Drama,2015-03-31,2015,18399991.9040035,191900.875563614
1.41239,John Erick Dowdle,103.0,Action,2015-08-26,2015,4599997.97600089,50065340.2112503
1.40805,Rick Famuyiwa,103.0,Crime,2015-06-19,2015,643999.716640124,16547831.2389542
1.388251,Nima Nourizadeh,96.0,Comedy,2015-08-19,2015,25759988.6656049,25951426.7813722
1.388032,Simon Curtis,120.0,Drama,2015-04-10,2015,10119995.5472019,56690166.2163268
1.376605,Jason Moore,118.0,Comedy,2015-12-18,2015,27599987.8560053,96610126.2515444
1.360926,Dean Israelite,106.0,Science Fiction,2015-01-30,2015,11039995.1424021,29668368.6659177
1.355822,Camille Delamarre,96.0,Thriller,2015-09-03,2015,22999989.8800044,66819266.9995225
1.345982,Guillermo del Toro,119.0,Mystery,2015-10-13,2015,50599977.7360098,68705406.0096213
1.338481,Gregory Jacobs,115.0,Comedy,2015-07-01,2015,13615994.0089626,112619962.887216
1.338322,Gregory Plotkin,88.0,Horror,2015-10-21,2015,9199995.95200178,71851557.1453148
1.316239,Jay Roach,124.0,Drama,2015-10-27,2015,13799993.9280026,7576804.78620589
1.315266,Billy Ray,111.0,Crime,2015-10-14,2015,17939992.1064034,29614535.8096042
1.291013,Paul Tibbitt,93.0,Family,2015-02-05,2015,68079970.0448131,286666383.306791
1.278928,Boaz Yakin,111.0,Adventure,2015-06-26,2015,18399991.9040035,40449856.802063
1.225325,Pierre Morel,115.0,Action,2015-02-16,2015,36799983.8080071,9811564.7629115
1.191138,Levan Gabriadze,82.0,Horror,2015-04-17,2015,919999.595200178,57851497.3453411
1.178831,Anne Fletcher,87.0,Action,2015-05-08,2015,32199985.8320062,47545763.9998638
1.164724,Leigh Whannell,97.0,Drama,2015-06-04,2015,9199995.95200178,95959500.6978197
1.142518,Nicholas Hytner,104.0,Comedy,2015-11-13,2015,5519997.57120106,38076655.2862716
1.138395,Paul McGuigan,109.0,Drama,2015-11-10,2015,36799983.8080071,31489100.3047958
1.125239,Duke Johnson|Charlie Kaufman,90.0,Animation,2015-12-30,2015,7359996.76160142,3458541.59824169
1.03839,Marielle Heller,102.0,Drama,2015-08-07,2015,1839999.19040035,1358841.24210985
1.007054,Woody Allen,95.0,Mystery,2015-07-17,2015,10119995.5472019,25199786.192094
0.956096,Jonathan Demme,100.0,Comedy,2015-07-10,2015,16559992.7136032,38019285.0315145
0.950793,David M. Rosenthal,100.0,Drama,2015-09-11,2015,11039995.1424021,55451294.7614303
0.93762,Noah Baumbach,97.0,Drama,2015-03-27,2015,9199995.95200178,6980483.12858742
0.927339,Etan Cohen,100.0,Comedy,2015-03-26,2015,36799983.8080071,97990493.6441828
0.906036,Patricia Riggen,120.0,History,2015-08-06,2015,22999989.8800044,22910495.0793821
0.898295999999999,Sarah Gavron,106.0,Drama,2015-10-16,2015,12879994.3328024,14722219.9222232
0.880937999999999,Max Joseph,96.0,Drama,2015-08-26,2015,5519997.57120106,10232318.2977799
0.832487,John Madden,122.0,Drama,2015-02-26,2015,9199995.95200178,79099969.9160132
0.829111,Alejandro Monteverde,106.0,Comedy,2015-04-23,2015,18399991.9040035,5906690.88105601
0.814206,Cameron Crowe,105.0,Adventure,2015-05-27,2015,34039985.0224065,24150007.7739965
0.795762,David Gordon Green,108.0,Drama,2015-09-11,2015,25759988.6656049,6442077.28548599
0.706023,Peter Sollett,103.0,Romance,2015-10-02,2015,6439997.16640124,527467.967914094
0.699932,Gaspar NoÃ©,134.0,Drama,2015-07-06,2015,2759998.78560053,639647.198555232
0.69957,James Vanderbilt,121.0,Drama,2015-09-12,2015,8831996.11392171,2338228.65117939
0.690479,Dan Fogelman,107.0,Comedy,2015-03-20,2015,9199995.95200178,9968887.45368952
0.689578999999999,Barry Levinson,100.0,Comedy,2015-10-22,2015,13799993.9280026,2779009.65723575
0.673792,Michael Showalter,95.0,Comedy,2015-11-27,2015,919999.595200178,13289393.2326669
0.669351,Mark Neveldine,91.0,Thriller,2015-07-24,2015,11959994.7376023,1641981.23752825
0.661471,Ramin Bahrani,112.0,Drama,2015-09-25,2015,7359996.76160142,1298972.2684522
0.661163,Steve Pink,93.0,Comedy,2015-02-20,2015,12879994.3328024,11329473.9350314
0.654046,David Gordon Green,97.0,Drama,2015-06-03,2015,3679998.38080071,131652.86207274
0.602165,Ken Kwapis,104.0,Drama,2015-09-02,2015,7359996.76160142,33111785.4708143
0.599655,David Gelb,83.0,Thriller,2015-01-29,2015,3035998.66416058,58981843.8079887
0.577814,Ken Scott,90.0,Comedy,2015-03-05,2015,32199985.8320062,13276746.9182313
0.570743999999999,Ryan Gosling,95.0,Fantasy,2015-04-08,2015,1839999.19040035,41796.5016095392
0.532205,Travis Cluff|Chris Lofing,87.0,Horror,2015-07-10,2015,91999.9595200178,39251239.9294544
0.524315,Angelina Jolie,122.0,Drama,2015-11-12,2015,9199995.95200178,3068131.49002214
0.46209,Mike Binder,121.0,Drama,2015-01-30,2015,8279996.3568016,19845485.1479865
0.450872,Marc Abraham,123.0,Drama,2015-09-11,2015,11959994.7376023,1515044.29338051
0.435582,Jon M. Chu,119.0,Drama,2015-10-22,2015,4599997.97600089,2146988.33532513
0.424813,Cary Fukunaga,137.0,Drama,2015-09-11,2015,5519997.57120106,83514.8032534865
0.414913,Will Canon,83.0,Thriller,2015-02-12,2015,2759998.78560053,3116038.628943
0.402236,Andrew Mogel|Jarrad Paul,101.0,Drama,2015-05-08,2015,411721.898842364,709611.327771015
0.365901,Kim Farrant,111.0,Drama,2015-07-01,2015,9199995.95200178,16074.2329273375
0.336107,Jerry Jameson,97.0,Crime,2015-09-17,2015,1839999.19040035,2577386.22595006
0.298751,Michael Polish,121.0,Drama,2015-09-11,2015,4599997.97600089,4455281.1196763
0.259794,Paul Weitz,78.0,Drama,2015-06-04,2015,551999.757120106,6520452.97100069
0.731022,Alex Kendrick,120.0,Drama,2015-08-28,2015,2759998.78560053,62366880.1985727
0.076109,Roland Emmerich,129.0,Drama,2015-09-18,2015,12419994.5352024,172660.004029598
24.949134,Christopher Nolan,169.0,Adventure,2014-11-05,2014,151980023.37729,572690645.122961
14.311205,James Gunn,121.0,Action,2014-07-30,2014,156585478.631148,712291130.169508
12.971027,Joe Russo|Anthony Russo,136.0,Action,2014-03-20,2014,156585478.631148,658365092.859794
11.422751,Chad Stahelski|David Leitch,101.0,Action,2014-10-22,2014,18421821.0154291,72526614.4653665
10.739009,Francis Lawrence,123.0,Science Fiction,2014-11-18,2014,115136381.346432,692752790.215065
10.174599,Peter Jackson,144.0,Adventure,2014-12-10,2014,230272762.692864,879752289.141534
8.691294,Don Hall|Chris Williams,102.0,Adventure,2014-10-24,2014,151980023.37729,600648487.706658
8.110711,Morten Tyldum,113.0,History,2014-11-14,2014,12895274.7108004,215126072.495392
7.137273,Wes Ball,113.0,Action,2014-09-10,2014,31317095.7262296,320834306.773058
6.90714799999999,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,119.0,Drama,2014-10-17,2014,16579638.9138862,95070499.387935
6.438727,David Fincher,145.0,Mystery,2014-10-01,2014,56186554.097059,340186892.137474
6.415818,David Ayer,135.0,War,2014-10-15,2014,62634191.4524592,195103577.60975
6.286692,Shawn Levy,97.0,Adventure,2014-12-17,2014,116978563.447975,321851579.072442
6.14502,Neil Burger,139.0,Action,2014-03-14,2014,78292739.315574,265963102.013597
6.052479,Bryan Singer,131.0,Action,2014-05-15,2014,230272762.692864,687133923.875509
5.947136,Luc Besson,89.0,Action,2014-07-14,2014,36843642.0308583,426796807.314199
5.787396,Jonathan Liebesman,101.0,Science Fiction,2014-08-07,2014,115136381.346432,439544649.42814
5.701683,Jake Kasdan,97.0,Comedy,2014-07-17,2014,36843642.0308583,116121496.515052
5.522641,Dan Gilroy,117.0,Crime,2014-10-23,2014,7829273.9315574,35643660.2684612
4.983782,Michael Bay,165.0,Science Fiction,2014-06-25,2014,193429120.662006,226127852.964393
4.93082,Wes Anderson,99.0,Comedy,2014-02-26,2014,27632731.5231437,160822790.371651
4.780419,Damien Chazelle,105.0,Drama,2014-10-10,2014,3039600.46754581,12888912.7349127
4.452507,Matt Reeves,130.0,Science Fiction,2014-06-26,2014,156585478.631148,652316682.156347
4.145209,Antoine Fuqua,132.0,Thriller,2014-09-24,2014,50660007.7924302,177154121.56007
4.105685,Sean Anders,108.0,Comedy,2014-11-26,2014,38685824.1324013,98230083.9390274
4.101979,Marc Webb,142.0,Action,2014-04-16,2014,184218210.154291,650030010.988616
3.990452,Doug Liman,113.0,Action,2014-05-27,2014,163954207.037319,341302234.843216
